,Longitude,Latitude,Temperature,Humidity,% Cloudiness,Wind Speed
Harper,-99.24,30.3,10.14,57,1,2.1
Launceston,147.14,-41.43,15.9,51,75,7.7
Bandarbeyla,50.81,9.49,25.41,100,92,2.07
Palencia,-4.53,42.01,6.32,79,44,1.82
Palmer,-149.11,61.6,8.17,37,1,3.1
Bykov,142.56,47.32,0.0,87,40,5.0
Muriwai Beach,174.45,-36.82,20.51,56,0,8.2
Salalah,54.1,17.01,24.0,78,40,2.1
Constitucion,-104.67,23.99,18.91,19,5,6.2
Gat,-16.54,14.69,21.42,53,0,1.0
Geraldton,-86.95,49.72,-2.0,58,90,3.1
Wajir,40.07,1.75,24.56,69,0,4.32
Yerbogachen,108.01,61.28,0.76,63,64,5.92
Gazojak,61.4,41.19,11.11,64,64,9.12
Samana,-76.97,0.12,23.76,91,8,0.52
Lata,78.62,30.78,10.16,52,0,0.97
Chany,76.76,55.31,1.91,91,44,8.02
Panjab,67.02,34.38,1.36,86,0,0.82
Longyearbyen,15.63,78.22,-13.0,65,20,3.6
Champerico,-93.6,16.38,22.0,73,5,7.2
Zhigansk,123.37,66.77,-1.39,81,92,3.32
Ponta do Sol,-46.0,-20.63,17.71,92,0,1.52
Guerrero Negro,-114.04,27.97,17.91,49,0,2.97
Nome,-94.42,30.04,7.88,81,1,2.1
Kokopo,152.27,-4.34,28.41,98,12,2.92
Pelym,62.0,61.01,-2.19,74,0,2.97
Pamyat Parizhskoy Kommuny,44.5,56.1,-0.67,79,0,2.0
Marathon,-86.38,48.72,-2.04,87,68,4.82
Port Hedland,118.58,-20.31,32.0,55,0,4.6
Oum Hadjer,19.7,13.3,21.61,30,0,3.02
Ballina,-9.15,54.11,3.33,84,68,7.6
Fare,-151.02,-16.7,28.56,100,68,2.67
Ierapetra,25.74,35.01,11.71,76,40,3.1
Vestmanna,-7.17,62.16,0.0,100,68,2.6
Kenai,-151.26,60.55,6.05,52,1,2.1
Locri,16.26,38.24,13.05,87,75,2.6
Turayf,38.65,31.68,6.0,100,0,1.5
Puerto Quijarro,-57.72,-19.0,24.61,90,44,1.02
Mushie,16.92,-3.02,23.41,97,20,0.72
Saint-Leu,55.28,-21.15,23.86,69,0,3.1
Chaykovskiy,54.11,56.77,-2.78,84,0,1.17
Trairi,-39.27,-3.28,26.26,100,92,3.57
Vydrino,104.64,51.46,0.0,37,56,2.24
Alexandria,-92.44,31.31,6.78,70,1,2.1
Copala,-98.97,16.61,21.36,91,0,1.17
Steamboat Springs,-106.83,40.48,2.32,51,90,1.57
Aljezur,-8.8,37.31,11.85,91,12,1.34
Durango,-107.88,37.28,4.76,52,1,2.6
Westlock,-113.85,54.15,2.45,64,1,4.1
Namibe,12.15,-15.19,26.26,100,0,4.12
Husavik,-96.99,50.56,0.79,80,24,2.68
Khem Karan,74.56,31.14,20.0,64,40,1.42
Fareham,-1.18,50.85,3.15,100,0,1.0
Mogadishu,45.34,2.04,28.16,100,8,6.92
Sinnamary,-52.96,5.38,26.46,97,92,5.02
Rivadavia,-68.59,-31.53,17.21,76,0,0.77
Kuito,16.94,-12.38,12.96,67,0,1.22
Iskateley,53.15,67.68,-2.04,91,44,8.22
Raudeberg,5.14,61.99,3.54,60,48,11.3
Kangalassy,129.97,62.35,-1.0,54,0,1.0
Vila,8.4,45.18,9.73,37,40,3.6
Ormara,64.64,25.21,24.41,77,0,1.07
Jinchang,102.19,38.52,6.76,78,32,1.72
Charters Towers,146.27,-20.07,23.01,83,80,3.67
Shirokiy,39.17,53.87,0.0,90,24,1.79
Adjumani,31.79,3.38,18.76,82,12,1.27
Teya,-89.07,21.05,25.73,78,40,2.1
Shimoda,138.93,34.7,13.9,37,20,7.2
Brokopondo,-54.98,5.06,24.0,88,0,3.1
Coahuayana,-100.35,18.62,16.86,55,0,0.97
Oussouye,-16.54,12.49,22.01,88,0,2.1
Rajapur,81.15,25.39,29.51,24,0,1.87
Meiktila,95.86,20.88,31.06,51,0,2.42
General Roca,-67.58,-39.03,19.0,48,0,2.6
Mpika,31.4,-11.84,16.36,98,76,1.32
Guia de Isora,-16.78,28.21,14.27,87,75,3.1
Sydney,151.22,-33.85,21.3,77,75,5.7
Teahupoo,-149.27,-17.83,30.75,70,75,4.6
Poum,20.71,41.28,1.0,64,0,1.5
Atar,-13.05,20.52,13.66,60,12,1.67
Belmonte,-7.35,40.36,6.67,93,24,0.89
At-Bashi,75.81,41.17,1.11,44,20,0.17
Nahavand,48.37,34.19,2.0,74,20,2.1
Bathsheba,-59.52,13.22,25.0,73,40,7.2
Nsanje,35.26,-16.92,18.91,82,0,1.92
Kumluca,30.29,36.37,-2.54,83,8,0.72
Lake City,-107.32,38.03,0.36,55,90,0.97
Buchanan,-10.05,5.88,25.0,94,20,1.5
Lebedinyy,125.52,58.52,-0.24,56,0,1.67
Tripoli,22.37,37.51,9.66,75,20,1.52
Cockburn Town,-71.14,21.46,25.31,100,0,6.37
Viransehir,39.76,37.24,7.26,98,80,2.77
Santiago del Estero,-64.26,-27.8,21.26,98,100,3.67
Hambantota,81.12,6.12,28.0,83,0,2.1
Cuamba,36.54,-14.8,15.81,85,32,1.27
Flic en Flac,57.36,-20.27,24.4,94,40,1.5
Sabang,123.58,13.72,28.91,71,0,4.82
Nisia Floresta,-35.21,-6.09,23.48,88,75,1.5
Victoria,115.24,5.28,28.94,78,75,2.1
Monclova,-101.42,26.9,14.44,47,24,0.89
Qasigiannguit,-51.19,68.82,-11.0,51,24,5.7
Sapa,120.76,14.32,32.16,43,20,5.1
Kaoma,24.8,-14.8,16.41,61,0,2.32
Puksoozero,40.61,62.59,-9.39,70,0,4.07
Atbasar,68.36,51.81,0.96,89,0,3.27
Coyah,-13.39,9.71,24.0,100,75,1.07
Lukovetskiy,41.92,64.29,-4.0,68,40,3.0
Port-Cartier,-66.88,50.03,-5.33,48,40,7.2
Muscatine,-91.04,41.42,7.95,50,90,4.6
Namatanai,152.44,-3.66,28.61,98,64,4.47
Riyadh,46.72,24.63,16.0,31,44,1.5
Emerald,148.16,-23.53,26.86,44,75,6.2
Rio de Janeiro,-43.21,-22.91,23.15,73,20,1.0
Wilmington,-75.55,39.75,0.02,47,1,1.22
High Rock,-78.28,26.63,24.76,99,0,5.37
Lingao,109.69,19.91,24.66,94,80,3.62
Wloclawek,19.07,52.65,1.11,56,0,1.79
Kaset Sombun,101.95,16.28,24.41,87,80,1.67
Suifenhe,131.16,44.39,1.91,45,48,3.97
Kavieng,150.8,-2.57,28.51,100,44,3.77
Henties Bay,14.28,-22.12,15.0,88,0,1.34
Forestville,-69.09,48.74,-2.0,54,75,9.3
Umm Lajj,37.27,25.02,12.21,100,0,1.97
Sinjar,37.0,35.59,9.26,95,24,4.52
Qaqortoq,-46.03,60.72,0.86,99,100,10.97
Sunyani,-2.33,7.34,24.26,92,20,2.97
Santa Maria,-53.81,-29.69,21.0,94,0,3.1
Pacific Grove,-121.92,36.62,14.48,67,75,3.6
Banda Aceh,95.32,5.56,28.51,83,36,0.87
Bima,118.73,-8.45,28.81,84,20,1.12
Chenghai,116.77,23.46,21.0,60,0,2.0
Grindavik,-22.43,63.84,-1.67,79,75,12.9
Hue,107.58,16.47,20.0,120,40,1.5
Contai,87.75,21.78,28.81,90,20,6.07
Half Moon Bay,-122.43,37.46,13.48,82,75,4.1
Ankang,108.99,32.73,8.61,95,92,0.92
Angoche,39.91,-16.23,25.61,100,8,3.47
Talcahuano,-73.12,-36.72,15.0,77,0,3.1
Phek,94.46,25.7,18.31,86,48,0.97
Eidsvag,8.07,62.78,0.99,59,24,2.6
Thinadhoo,72.93,0.53,28.76,100,0,3.57
San Cristobal,-78.55,-0.39,11.03,93,90,1.5
Qingdao,120.35,36.09,14.0,16,0,6.0
Caconda,15.06,-13.73,18.16,54,88,0.42
Mazara del Vallo,12.59,37.65,11.27,87,20,1.0
Artyom,132.19,43.36,2.0,43,75,5.0
Nago,10.89,45.88,8.77,80,20,3.1
Kijang,129.21,35.24,11.0,23,0,3.6
San Carlos,-68.59,9.66,25.21,72,12,3.42
Buriti dos Lopes,-41.87,-3.18,24.16,96,68,1.22
Tucuman,-70.89,-17.17,13.21,83,12,0.87
Praxedis Guerrero,-106.02,31.37,15.4,17,75,2.1
Boo,8.9,7.44,27.16,76,0,5.52
Preobrazheniye,133.91,42.9,1.91,44,56,2.12
Jacareacanga,-57.76,-6.22,24.96,92,12,0.92
Hamilton,-64.78,32.3,17.88,88,90,8.7
Yamada,137.08,36.58,3.59,100,75,1.0
Puri,112.45,-7.54,28.0,83,20,1.5
Escanaba,-87.06,45.75,-0.27,92,90,5.12
Dongying,118.67,37.43,17.06,44,12,3.32
Srednekolymsk,153.71,67.46,-6.69,78,80,1.42
Nizhnevartovsk,76.58,60.93,2.0,96,75,7.0
Upington,21.24,-28.46,14.0,26,0,2.6
Mahebourg,57.7,-20.41,24.52,94,40,1.5
Rurrenabaque,-67.53,-14.44,23.96,86,44,0.32
Kalemie,29.2,-5.95,23.66,100,20,2.87
Vadlapudi,79.8,14.32,29.21,64,0,4.27
Staszow,21.17,50.56,1.37,61,0,5.97
Chapeco,-52.62,-27.1,22.0,83,0,1.5
Vilhena,-60.15,-12.74,23.31,92,12,1.22
Ashcroft,150.9,-33.91,21.4,77,75,5.7
Maningrida,134.23,-12.05,30.11,91,64,5.67
Zhangye,100.46,38.94,9.96,82,8,1.77
Bramsche,7.98,52.41,4.04,65,0,2.1
Piacabucu,-36.43,-10.41,24.76,94,92,1.42
Bolshaya Rechka,104.74,51.95,2.32,52,0,2.0
Glenluce,-4.81,54.88,3.89,87,24,0.45
Miri,9.75,10.31,17.96,43,0,2.12
Vila do Maio,-23.22,15.13,21.0,68,40,6.7
Tres Arroyos,-60.28,-38.38,22.26,72,80,5.57
Samarai,150.67,-10.62,26.11,100,88,8.62
Yangambi,24.47,0.77,23.96,95,36,1.52
Kavaratti,72.64,10.57,28.56,100,36,4.42
Sheffield,-1.47,53.38,5.22,86,0,3.1
Canoinhas,-50.4,-26.18,17.06,95,68,2.32
Sabha,14.43,27.03,14.21,49,0,2.87
Whitehorse,-135.06,60.72,10.16,27,5,2.6
Nola,16.05,3.52,22.56,89,56,1.47
Katete,29.75,-0.78,14.56,86,12,1.32
Bajil,-2.07,38.23,7.81,92,68,1.37
San Blas,-105.29,21.54,18.0,82,5,2.6
Kangaatsiaq,-53.46,68.31,-8.29,100,32,7.27
Northam,-4.21,51.04,6.35,94,92,1.34
Nemuro,145.57,43.32,1.0,64,40,3.6
Alofi,-169.92,-19.06,27.0,69,40,5.7
Adrar,-0.29,27.87,17.0,45,0,6.2
Blagoyevo,47.92,63.37,-4.39,76,0,3.02
Kaeo,173.78,-35.1,21.11,67,68,4.02
Mongoumba,18.59,3.64,24.81,87,36,1.62
Roald,6.12,62.58,0.83,48,64,4.6
Guarapari,-40.5,-20.67,23.19,94,40,1.5
Bolobo,16.23,-2.17,23.36,97,68,0.42
Brnakot,45.97,39.5,5.0,86,75,3.1
Oistins,-59.53,13.07,25.0,73,40,7.2
Eenhana,16.34,-17.48,21.26,61,44,3.22
Finote Selam,37.27,10.7,10.76,85,44,1.22
Acireale,15.17,37.61,10.69,87,40,1.5
Prieska,22.74,-29.67,5.06,56,0,1.37
Zhezkazgan,67.71,47.8,1.0,78,0,3.0
Atasu,71.64,48.68,6.41,100,88,2.27
Tautira,-149.15,-17.73,30.76,70,75,4.6
Solnechnyy,136.64,50.72,0.21,67,12,2.97
North Bend,-124.22,43.41,11.95,93,90,1.27
Otradnaya,41.53,44.4,3.56,93,92,3.57
Arlit,7.39,18.74,22.01,36,0,2.12
Pevek,170.27,69.7,-1.29,79,0,7.67
Manicore,-61.3,-5.81,26.16,83,0,1.02
Sungaipenuh,101.38,-2.08,24.91,73,0,0.22
Otradnoye,30.8,59.77,-0.42,82,0,5.0
Sharjah,55.39,25.36,26.95,25,0,3.6
Nzerekore,-8.82,7.76,23.41,92,92,2.62
Biharamulo,31.31,-2.64,14.71,87,24,1.22
Grand-Santi,-54.38,4.27,29.16,58,64,2.22
Turka,23.03,49.16,-0.57,58,0,4.82
Pudozh,36.54,61.81,-7.19,77,68,4.37
Sao Jose da Coroa Grande,-35.15,-8.9,23.66,100,88,1.02
Sume,20.22,43.62,5.56,69,0,1.5
Nshamba,31.55,-1.8,20.0,88,20,1.02
Iqaluit,-68.52,63.75,-17.88,59,40,5.7
Pijijiapan,-93.21,15.69,24.01,74,20,0.77
Coquimbo,-71.34,-29.95,15.0,87,90,1.5
Port Macquarie,152.91,-31.43,20.5,93,40,3.1
Kyabram,145.05,-36.31,25.56,30,64,3.67
Marquette,-87.4,46.54,-0.14,89,90,2.1
La Dorada,-74.66,5.45,19.96,100,92,0.82
Tonantins,-67.77,-2.86,25.81,89,80,1.92
Sao Joao da Barra,-41.05,-21.64,25.16,100,12,4.57
Moindou,165.68,-21.69,30.0,62,20,6.7
Krasnovishersk,57.08,60.4,-7.59,83,44,3.47
Kloulklubed,134.26,7.04,29.0,74,75,3.6
Taft,125.42,11.9,26.06,94,92,6.22
Hauterive,3.45,46.09,9.26,32,0,4.1
Vredendal,18.49,-31.68,7.76,74,0,2.22
Parvatsar,74.77,26.88,26.41,20,0,2.67
Taybad,60.78,34.74,15.01,74,24,5.67
Olinda,-79.75,-2.03,24.86,88,90,1.5
Parana,-72.89,-7.52,27.0,88,0,0.97
Hami,93.51,42.84,17.46,49,12,3.92
Malartic,-78.13,48.14,-1.43,63,40,5.7
Bogovarovo,47.02,58.98,-2.74,90,80,1.57
Zhanaozen,52.85,43.35,6.66,96,92,7.52
Kununurra,128.74,-15.77,32.0,18,0,3.6
Koslan,48.9,63.46,-4.09,74,0,3.02
Muswellbrook,150.89,-32.27,24.44,74,76,0.89
Chanika,34.19,-12.93,21.06,95,56,0.62
Marsaxlokk,14.54,35.84,13.04,93,20,1.5
Chifeng,118.96,42.27,4.26,48,0,2.62
Honiara,159.96,-9.43,28.26,79,68,1.22
Rafai,23.92,4.95,24.16,77,64,2.97
Kirakira,161.92,-10.46,28.71,100,44,4.02
Aasiaat,-52.87,68.71,-8.64,91,8,9.02
Uvat,68.9,59.14,0.46,79,24,6.47
Mangalore,74.84,12.87,28.0,78,40,1.5
Nyahururu,36.37,0.03,6.96,84,0,0.42
Istok,23.48,52.66,-1.74,74,0,2.0
Aurillac,2.44,44.93,7.72,48,90,3.1
Santa Cruz,-122.03,36.97,14.56,67,20,0.72
Salta,-65.41,-24.79,20.0,94,90,1.5
Flinders,150.85,-34.58,21.8,49,75,4.1
Saint Anthony,-111.68,43.97,5.15,45,75,3.1
San Quintin,120.52,17.54,27.46,63,56,1.62
Matsubase,130.67,32.65,12.92,35,75,5.1
Les Cayes,-73.75,18.19,25.96,100,56,3.22
Chirilagua,-88.14,13.22,26.41,100,8,3.47
